Age, Height, Weight, Chest, Size, Color
44, 163.5, 66.2, 103.5,Large, lavender 
29, 166.6, 70.6, 93.3,Small, red 
23, 170.5, 57.7, 86.0,X_Small, yellow 
26, 162.9, 52.6, 87.3,X_Small, yellow 
24, 171.8, 80.8, 97.6,Medium, blue 
33, 162.6, 83.4, 100.3,Medium, blue 
24, 161.6, 75.0, 95.1,Medium, blue 
38, 160.2, 61.9, 92.4,Small, red 
41, 166.7, 67.5, 96.6,Medium, blue 
41, 164.5, 70.2, 102.2,Large, lavender 
26, 167.0, 65.9, 94.7,Small, red 
42, 162.1, 71.2, 94.1,Small, red 
40, 172.1, 102.8, 106.6,Large, lavender 
54, 160.6, 75.9, 109.1,Large, lavender 
23, 156.7, 65.9, 95.3,Medium, blue 
28, 172.0, 64.4, 90.4,Small, red 
38, 163.9, 68.9, 90.0,Small, red 
42, 173.0, 86.3, 101.3,Medium, blue 
37, 168.2, 94.9, 114.7,X_Large, green 
51, 172.0, 63.0, 87.4,X_Small, yellow 
44, 178.3, 106.9, 121.4,X_Large, green 
22, 164.1, 63.9, 89.3,X_Small, yellow 
40, 156.8, 68.3, 90.2,Small, red 
21, 164.0, 63.0, 94.0,Small, red 
24, 155.6, 71.8, 98.9,Medium, blue 
22, 164.7, 87.4, 103.3,Large, lavender 
25, 163.0, 75.2, 99.5,Medium, blue 
45, 158.7, 85.2, 115.4,X_Large, green 
32, 162.7, 82.7, 117.2,X_Large, green 
27, 163.8, 55.9, 87.0,X_Small, yellow 
22, 164.4, 82.1, 111.0,Large, lavender 
33, 160.3, 66.3, 98.2,Medium, blue 
20, 171.3, 63.8, 89.7,X_Small, yellow 
33, 172.1, 79.9, 96.6,Medium, blue 
24, 157.3, 58.9, 83.8,XX_Small, pink 
22, 161.9, 76.1, 99.6,Medium, blue 
44, 152.4, 67.2, 100.6,Medium, blue 
41, 160.5, 54.1, 88.2,X_Small, yellow 
22, 161.7, 69.7, 103.5,Large, lavender 
41, 160.1, 61.6, 89.5,X_Small, yellow 
23, 170.3, 85.2, 105.3,Large, lavender 
33, 157.4, 58.2, 88.2,X_Small, yellow 
42, 159.6, 74.2, 103.6,Large, lavender 
20, 160.2, 60.9, 87.6,X_Small, yellow 
46, 159.9, 69.0, 96.4,Medium, blue 
23, 163.2, 67.5, 93.5,Small, red 
38, 166.0, 88.6, 109.8,Large, lavender 
46, 156.8, 65.2, 92.4,Small, red 
45, 163.9, 82.6, 103.2,Large, lavender 
51, 159.1, 55.6, 92.3,Small, red 
45, 162.8, 71.9, 93.4,Small, red 
52, 161.5, 82.2, 107.7,Large, lavender 
36, 168.0, 96.5, 109.8,Large, lavender 
25, 159.0, 62.4, 90.7,Small, red 
33, 156.3, 43.5, 72.6,XX_Small, pink 
39, 164.1, 75.3, 109.0,Large, lavender 
27, 171.0, 55.3, 83.6,XX_Small, pink 
20, 156.6, 57.8, 90.1,Small, red 
21, 157.3, 71.3, 102.3,Large, lavender 
24, 166.9, 77.6, 98.0,Medium, blue 
29, 160.7, 65.5, 97.6,Medium, blue 
25, 163.3, 57.8, 92.2,Small, red 
47, 169.9, 84.3, 112.6,X_Large, green 
23, 163.8, 67.0, 89.2,X_Small, yellow 
24, 163.4, 76.4, 100.0,Medium, blue 
24, 166.0, 66.3, 86.4,X_Small, yellow 
29, 160.4, 67.1, 88.0,X_Small, yellow 
24, 169.3, 70.6, 98.0,Medium, blue 
22, 159.5, 63.6, 93.6,Small, red 
19, 169.4, 64.6, 88.2,X_Small, yellow 
28, 162.6, 65.8, 93.4,Small, red 
23, 161.3, 78.9, 102.1,Large, lavender 
33, 161.4, 58.5, 88.7,X_Small, yellow 
31, 163.0, 58.9, 90.0,Small, red 
26, 171.6, 78.5, 103.5,Large, lavender 
39, 151.0, 67.6, 101.3,Medium, blue 
28, 163.9, 86.2, 110.0,Large, lavender 
35, 157.6, 60.5, 98.1,Medium, blue 
40, 167.7, 95.0, 109.5,Large, lavender 
28, 166.9, 64.9, 98.5,Medium, blue 
34, 159.2, 61.6, 88.4,X_Small, yellow 
22, 160.6, 71.5, 103.0,Large, lavender 
34, 159.7, 76.5, 101.2,Medium, blue 
22, 161.0, 65.2, 89.0,X_Small, yellow 
27, 181.1, 77.3, 87.8,X_Small, yellow 
42, 163.9, 73.4, 102.8,Large, lavender 
25, 163.5, 54.9, 82.5,XX_Small, pink 
21, 175.1, 80.2, 104.1,Large, lavender 
25, 162.6, 69.5, 102.3,Large, lavender 
20, 168.8, 64.7, 94.9,Small, red 
24, 158.8, 65.7, 91.4,Small, red 
33, 163.5, 87.1, 111.1,Large, lavender 
40, 162.4, 58.0, 85.5,X_Small, yellow 
42, 163.4, 79.6, 101.5,Medium, blue 
26, 174.9, 76.1, 92.9,Small, red 
22, 164.6, 57.6, 92.5,Small, red 
43, 160.0, 87.0, 112.9,X_Large, green 
37, 160.0, 76.6, 100.8,Medium, blue 
28, 151.7, 54.8, 84.5,X_Small, yellow 
30, 165.9, 82.6, 103.9,Large, lavender 
27, 171.8, 65.1, 90.2,Small, red 
35, 153.3, 57.0, 94.8,Small, red 
42, 159.2, 71.9, 105.1,Large, lavender 
23, 163.6, 72.6, 100.3,Medium, blue 
24, 164.8, 71.6, 88.2,X_Small, yellow 
24, 166.9, 83.2, 105.6,Large, lavender 
25, 165.5, 60.4, 96.5,Medium, blue 
22, 177.0, 76.4, 93.2,Small, red 
19, 175.2, 93.4, 105.1,Large, lavender 
24, 174.1, 57.3, 85.0,X_Small, yellow 
23, 160.8, 58.2, 83.0,XX_Small, pink 
28, 163.6, 55.3, 88.9,X_Small, yellow 
30, 155.5, 69.8, 100.5,Medium, blue 
40, 157.3, 64.0, 92.5,Small, red 
25, 162.3, 59.0, 84.4,X_Small, yellow 
41, 153.4, 60.4, 90.0,Small, red 
36, 154.3, 66.6, 95.4,Medium, blue 
28, 174.4, 67.0, 92.5,Small, red 
22, 162.3, 63.3, 90.2,Small, red 
26, 158.7, 61.8, 94.7,Small, red 
36, 156.3, 64.5, 94.4,Small, red 
24, 165.5, 58.2, 89.9,X_Small, yellow 
21, 161.2, 79.6, 103.3,Large, lavender 
26, 163.6, 60.9, 90.0,Small, red 
27, 170.9, 82.3, 99.6,Medium, blue 
23, 154.7, 56.7, 90.6,Small, red 
28, 165.7, 51.0, 89.6,X_Small, yellow 
25, 169.5, 60.1, 87.6,X_Small, yellow 
42, 172.0, 71.6, 95.5,Medium, blue 
30, 158.7, 68.1, 91.2,Small, red 
47, 167.6, 94.0, 116.0,X_Large, green 
22, 172.6, 68.6, 84.4,X_Small, yellow 
33, 161.6, 67.1, 94.8,Small, red 
28, 174.7, 68.9, 92.8,Small, red 
33, 170.5, 78.6, 104.2,Large, lavender 
51, 168.5, 70.4, 90.6,Small, red 
33, 159.4, 50.4, 77.6,XX_Small, pink 
33, 168.7, 59.8, 87.2,X_Small, yellow 
43, 170.0, 76.0, 100.5,Medium, blue 
41, 165.8, 78.0, 105.5,Large, lavender 
24, 156.2, 71.2, 100.6,Medium, blue 
31, 165.8, 66.5, 95.3,Medium, blue 
34, 168.8, 73.5, 93.5,Small, red 
28, 152.4, 54.4, 89.5,X_Small, yellow 
20, 161.1, 67.8, 99.2,Medium, blue 
24, 162.7, 64.8, 90.0,Small, red 
24, 161.4, 66.3, 95.3,Medium, blue 
22, 159.8, 77.9, 97.1,Medium, blue 
22, 164.3, 70.2, 99.0,Medium, blue 
27, 161.1, 59.2, 87.3,X_Small, yellow 
23, 152.0, 56.3, 85.2,X_Small, yellow 
24, 169.7, 92.7, 103.9,Large, lavender 
40, 164.0, 80.1, 99.2,Medium, blue 
21, 167.2, 77.2, 97.0,Medium, blue 
26, 166.2, 70.4, 93.6,Small, red 
20, 160.1, 59.0, 88.2,X_Small, yellow 
24, 158.0, 64.0, 97.8,Medium, blue 
25, 167.6, 84.2, 99.7,Medium, blue 
21, 153.6, 54.6, 82.2,XX_Small, pink 
