Age, Height, Weight, Chest, Size, Color
24, 162.7, 64.5, 91.5,Small, red 
27, 151.6, 72.1, 106.5,Large, lavender 
49, 158.3, 66.1, 103.2,Large, lavender 
30, 164.7, 58.9, 89.6,X_Small, yellow 
27, 159.4, 52.8, 83.7,XX_Small, pink 
55, 161.7, 62.3, 91.3,Small, red 
39, 167.4, 89.6, 118.8,X_Large, green 
32, 160.5, 83.3, 103.0,Large, lavender 
50, 164.9, 91.6, 113.9,X_Large, green 
30, 160.3, 67.7, 86.9,X_Small, yellow 
26, 162.0, 53.5, 77.3,XX_Small, pink 
58, 158.4, 71.2, 105.2,Large, lavender 
35, 157.9, 52.7, 86.0,X_Small, yellow 
44, 160.8, 72.1, 104.5,Large, lavender 
37, 165.6, 58.9, 93.2,Small, red 
36, 163.9, 73.1, 95.3,Medium, blue 
23, 163.0, 62.0, 85.4,X_Small, yellow 
